,class
4859,e
41142,p
44623,p
31537,e
11684,e
19990,p
42697,e
55715,e
22826,p
15362,e
44172,p
15734,p
38661,p
52373,e
21695,e
38180,p
57351,p
8671,e
18369,p
42811,e
52689,e
31780,p
15776,p
19773,p
40975,p
9257,e
59478,p
41102,p
39225,p
27454,p
29920,e
29755,e
36315,e
48097,p
35850,p
58883,p
699,p
18985,e
29962,e
5403,e
6310,p
57752,p
50929,p
44936,p
38882,p
4436,e
48483,e
59167,p
2789,e
51558,e
14365,e
9160,p
56609,p
33984,p
33272,p
43866,e
5302,e
38078,p
15383,e
39910,p
16434,e
676,p
33864,e
197,p
41551,p
17255,p
37386,p
17252,p
39293,p
1766,e
30071,p
59408,p
57918,p
29262,p
52588,e
8889,p
6354,e
18707,p
17158,p
14382,e
8993,p
34279,p
59548,p
56760,p
57760,p
40630,p
20007,p
42972,e
50283,p
16457,e
25670,p
9169,p
27205,p
59938,p
47278,p
36896,p
25455,p
49083,e
18825,e
61014,p
2689,e
44504,p
4301,e
5110,e
38724,p
25442,p
26140,e
596,p
7962,p
45972,e
2011,e
12291,p
59830,p
13922,p
57392,p
31511,e
45902,e
54188,p
27103,e
56411,p
650,p
13658,p
39328,p
60480,e
40446,p
26774,p
1097,e
31742,e
51660,e
36975,p
6394,e
38370,p
27618,p
11726,e
17501,e
4632,e
12924,p
1970,e
8621,e
36665,p
43208,p
44472,p
47250,p
3500,e
22036,e
2229,p
53898,p
13186,p
38138,p
51811,e
6726,e
8501,e
43566,e
41226,p
52776,e
35662,p
37017,p
42908,e
15986,e
20304,e
30738,p
48031,p
12801,p
54653,e
25657,p
47580,p
118,p
20705,e
284,p
17266,p
58815,p
49913,p
37720,p
20440,e
23425,p
54618,e
42302,e
38671,p
46010,e
50111,p
50968,p
26609,p
16383,e
23346,p
13336,p
20947,p
34898,p
58007,p
46955,p
32535,p
210,p
28638,p
55750,e
10604,p
48861,e
51005,p
18496,p
28154,p
21827,e
21194,e
58270,e
57118,e
49801,p
34653,p
53162,e
34026,p
18809,e
25080,e
10449,e
37845,p
58012,p
13605,p
26135,e
31093,e
51656,e
18296,e
57128,e
20324,e
23976,p
4075,p
39940,p
55361,e
8244,p
11348,e
36741,p
53789,p
13577,p
34940,p
42575,e
20561,e
21618,e
38469,p
35586,p
35005,e
10910,p
57559,p
35116,e
30944,p
21153,p
42911,e
58150,p
26131,e
16400,e
6754,e
34148,p
59387,p
23730,p
3966,p
1199,e
87,p
53374,p
6425,e
18474,p
58967,p
50861,p
41376,p
15675,p
11693,e
2292,p
48100,p
43202,p
2708,e
11173,p
1150,e
20210,e
23770,p
640,p
4005,p
2772,e
28077,p
41587,p
18984,e
46453,e
548,p
14548,e
33854,e
57876,p
47971,p
31716,e
56027,e
36973,p
27732,p
61009,p
49388,e
12539,e
51029,p
59094,p
42416,e
44303,p
37011,p
39128,p
46203,e
24482,e
41772,p
14199,e
59755,p
21902,e
49689,e
33992,p
58710,p
23735,p
36035,e
36135,e
48416,e
18598,p
37580,p
35745,p
33789,e
47676,p
20065,p
31400,e
37543,p
3153,e
2493,e
51989,e
18790,e
31379,e
32868,p
1731,p
29031,p
58205,p
36769,p
7261,p
33106,p
17854,e
56311,p
26846,e
47977,p
40345,p
4298,e
22656,p
47243,p
16415,e
17597,e
49707,e
10805,p
51557,e
17832,e
59232,p
17132,p
14118,p
35626,p
54149,p
6802,e
29539,p
10788,p
1448,p
58197,p
5861,e
16052,e
30156,p
56645,p
2662,e
60582,e
22719,p
18421,p
49600,e
13138,p
17119,p
28024,p
58318,e
14440,e
36612,p
5544,e
37236,p
20349,e
58878,p
50433,p
29982,e
54413,e
46334,e
53316,p
55603,e
60075,p
9117,p
55886,e
52760,e
49542,e
38785,p
54731,e
60200,p
9287,e
36639,p
11043,p
16781,e
9191,e
32170,p
52596,e
1502,p
54024,p
19365,p
25791,p
4785,e
17595,e
15171,e
28199,p
33233,p
45741,e
4969,e
49463,e
57016,e
16814,e
7395,p
3400,e
37073,p
45104,p
29293,p
47654,p
21534,e
58552,e
37987,p
40656,p
36524,p
5883,e
10418,e
44057,e
32777,p
6253,p
44633,p
21484,e
3754,p
51801,e
58478,e
42986,e
34295,p
26560,p
30906,p
53742,p
25975,p
11284,p
26794,p
46373,e
31270,e
14244,e
16670,e
22960,p
21383,e
27548,p
33532,p
31305,e
47219,p
42739,e
35485,p
35379,p
42365,e
23520,p
56201,p
48463,e
38277,p
45441,e
15253,e
52711,e
22759,p
55006,e
35903,p
4150,p
45286,e
21402,e
27097,e
29957,e
25764,p
23423,p
16541,e
38507,p
1889,e
17689,e
3573,p
52462,e
45932,e
53608,p
29082,p
32348,p
5105,e
11986,e
18966,e
36966,p
59930,p
2534,e
58362,e
13968,p
18851,e
50977,p
3005,e
39252,p
49475,e
39672,p
10216,p
21374,e
32950,p
34516,p
58715,p
3676,p
45034,p
35412,p
20839,p
25273,e
40355,p
38850,p
10801,p
36289,e
52740,e
29536,p
41049,p
21869,e
56007,e
24202,e
421,p
31174,e
45423,e
8394,p
52263,e
8738,e
47714,p
56882,e
26495,p
38032,p
13883,p
6214,p
11341,e
44496,p
12461,e
33662,e
19324,p
51795,e
3654,p
4989,e
42560,e
50882,p
26881,e
10374,e
7634,p
57122,e
40760,p
46476,e
36132,e
20034,p
25083,e
23303,p
13427,p
562,p
43983,e
8509,e
48089,p
54135,p
58598,p
57851,p
48093,p
21907,e
5149,e
52790,e
11841,e
60861,p
19241,p
44199,p
52594,e
29923,e
36954,p
55302,e
36797,p
54111,p
20627,e
44160,p
1737,p
9023,p
52778,e
26625,p
1640,p
7480,p
17914,e
30085,p
7166,p
45570,e
9036,p
13173,p
9223,e
7915,p
60643,e
9310,e
12933,p
28376,p
40044,p
17388,e
34126,p
16120,e
10578,e
7215,p
43332,p
57864,p
19716,p
44890,p
36993,p
20266,e
58693,p
60976,p
53435,p
40555,p
46559,e
9937,p
53533,p
16268,e
25066,e
7898,p
30826,p
23231,p
31014,p
16936,e
28681,p
56001,e
22671,p
9997,p
24455,e
27846,p
26608,p
17391,e
6306,p
46371,e
6808,e
31336,e
46975,p
12763,p
60953,p
58991,p
9373,e
14080,p
10691,p
36923,p
34541,p
54482,e
4366,e
27802,p
27666,p
21654,e
39517,p
57323,p
39792,p
60034,p
48283,p
46910,e
6819,e
22650,p
2334,p
20879,p
7526,p
28216,p
23358,p
46496,e
40488,p
672,p
25321,e
44195,p
10499,e
13611,p
37960,p
11839,e
38354,p
23387,p
31058,p
34906,p
25593,p
26413,e
4908,e
8859,p
39270,p
38951,p
53455,p
58041,p
2009,e
55729,e
31903,p
49295,e
45945,e
16469,e
37042,p
54288,p
12414,e
1206,e
36391,p
26448,e
25784,p
2637,e
12982,p
19436,p
25144,e
54830,e
6442,e
39747,p
32205,p
59634,p
17478,e
13781,p
10327,e
30507,e
22322,e
43904,e
7288,p
17766,e
48065,p
30332,p
42234,e
49987,p
46950,p
21861,e
29149,p
56751,p
39719,p
47492,p
17601,e
11421,e
28865,p
38426,p
17491,e
13709,p
6163,p
16490,e
35141,e
54349,p
59900,p
14090,p
9294,e
45153,p
46992,p
32716,p
3901,p
4997,e
40957,p
21444,e
35813,p
45965,e
35738,p
44589,p
11861,e
55695,e
57591,p
24410,e
19245,p
20905,p
57370,p
24492,e
15923,e
56145,p
51732,e
15228,e
45398,e
43853,e
1202,e
10528,e
50098,p
44469,p
34139,p
21909,e
28401,p
6708,e
47497,p
37779,p
3083,e
9884,p
36482,p
30952,p
20465,e
37035,p
2595,e
20953,p
44228,p
37466,p
50822,e
48274,p
15297,e
18738,e
11113,p
59539,p
9612,p
52126,e
37130,p
35968,p
40508,p
45488,e
37972,p
54671,e
59247,p
24478,e
49557,e
190,p
34262,p
20393,e
8973,p
3090,e
16513,e
14055,p
14162,e
40504,p
26663,p
30180,p
25622,p
13166,p
58994,p
16568,e
51385,e
7378,p
4694,e
55165,e
37463,p
46269,e
16613,e
2137,p
24086,e
37103,p
53837,p
54027,p
58764,p
7151,p
30150,p
53272,e
12413,e
1476,p
26971,e
55109,e
55915,e
30349,p
33575,e
22602,p
39251,p
19531,p
13334,p
56666,p
51061,p
5653,e
53315,p
9221,e
47817,p
34328,p
30871,p
58136,p
16855,e
56747,p
38192,p
16283,e
55714,e
38351,p
29720,e
44916,p
48183,p
17866,e
11487,e
15425,e
11473,e
8110,p
14495,e
19064,p
50467,p
13914,p
36185,e
60923,p
28759,p
1716,p
23987,p
27050,e
30712,p
3022,e
55198,e
10039,p
19336,p
48514,e
2524,e
56363,p
24643,e
43706,e
58398,e
28355,p
12541,e
27935,p
31624,e
14471,e
58797,p
4423,e
29410,p
46374,e
18112,e
10073,p
16907,e
52657,e
37842,p
11006,p
21825,e
18069,e
29148,p
31195,e
39218,p
38147,p
25691,p
57900,p
18858,e
42633,e
22042,e
17644,e
39570,p
50015,p
50270,p
40006,p
49093,e
29786,e
30295,p
56545,p
18929,e
35375,p
13303,p
34977,e
7770,p
29638,p
29878,e
26859,e
44873,p
52425,e
17899,e
47629,p
42311,e
46301,e
53114,e
23193,p
15264,e
1648,p
13418,p
4674,e
50215,p
12510,e
18626,p
26761,p
11612,e
43954,e
36455,p
56217,p
59534,p
21448,e
40664,p
17856,e
30313,p
27524,p
55213,e
3391,e
18099,e
52555,e
12227,p
15154,e
53758,p
41745,p
2786,e
1926,e
21940,e
42059,e
40778,p
39918,p
15029,e
100,p
40797,p
11939,e
26758,p
57170,e
26770,p
56582,p
36091,e
32555,p
46143,e
20388,e
4232,p
52174,e
24377,e
11107,p
4510,e
47335,p
56512,p
34930,p
20226,e
32240,p
2161,p
32192,p
6275,p
33054,p
10213,p
18273,e
56124,e
7495,p
23081,p
52698,e
27566,p
5444,e
49501,e
26714,p
20288,e
56627,p
25871,p
19899,p
2763,e
40745,p
55905,e
49245,e
29026,p
33586,e
42994,e
43034,e
7143,p
52569,e
16569,e
30285,p
50988,p
32523,p
35747,p
45622,e
22139,e
52542,e
42261,e
25372,e
24140,e
9637,p
45344,e
24890,e
13163,p
15984,e
56004,e
40011,p
59969,p
4617,e
15847,p
16588,e
23716,p
54307,p
27056,e
30444,e
34336,p
47312,p
358,p
10115,p
39613,p
23726,p
33201,p
47100,p
45527,e
41819,p
48808,e
6767,e
28314,p
15855,p
1028,p
31168,e
3934,p
24342,e
18210,e
43683,e
40043,p
40469,p
4971,e
61038,p
6919,e
43304,p
954,p
31931,p
5632,e
36827,p
52119,e
4214,p
22258,e
12042,p
3925,p
2730,e
33797,e
33888,p
12818,p
9462,e
37188,p
6583,e
26411,e
12833,p
34890,p
27904,p
25853,p
19419,p
37456,p
42648,e
17930,e
49358,e
32257,p
2503,e
56546,p
15269,e
35892,p
58257,e
5601,e
23524,p
4793,e
25971,p
25641,p
33873,e
4894,e
18709,e
25471,p
7716,p
34229,p
29910,e
61059,p
33650,e
38112,p
44018,e
31591,e
60635,e
43447,e
46038,e
1518,p
18552,p
40606,p
3889,p
59491,p
57742,p
21851,e
42269,e
22017,e
10348,e
26037,p
25373,e
49321,e
39240,p
10085,p
49303,e
34324,p
35966,p
31464,e
27950,p
51960,e
37721,p
44827,p
45967,e
40271,p
31892,p
56393,p
58952,p
15064,e
24731,e
1729,p
34564,p
10847,p
42701,e
41530,p
54047,p
2780,e
48731,e
8754,e
38786,p
56794,p
43262,p
1983,e
10547,e
23333,p
47744,p
57134,e
1973,e
9005,p
37875,p
9575,p
56531,p
5399,e
48809,e
58582,e
44680,p
18015,e
2211,p
14977,e
52417,e
27382,p
1173,e
32200,p
42380,e
17954,e
3262,e
32746,p
39446,p
11553,e
19170,p
39115,p
43370,p
37239,p
2674,e
30115,p
27207,p
44318,p
40088,p
35925,p
10811,p
19740,p
35359,p
34270,p
5811,e
56009,e
38916,p
43075,p
48984,e
23594,p
31929,p
19523,p
53236,e
40811,p
45678,e
27895,p
25538,p
16017,e
502,p
2333,p
30214,p
12627,e
28350,p
40617,p
39737,p
50721,e
30975,p
2377,p
52097,e
47453,p
43520,e
22027,e
15107,e
37885,p
22757,p
46443,e
35040,e
42594,e
22345,e
57058,e
2539,e
49282,e
19511,p
29477,p
29426,p
57788,p
20331,e
57709,p
18912,e
23170,p
60216,p
7690,p
1326,e
4021,p
37593,p
59917,p
15926,e
37159,p
41607,p
53227,e
29582,p
53182,e
31776,p
30604,e
54355,p
29612,p
18323,e
8462,p
32400,p
36534,p
55151,e
30476,e
39658,p
28426,p
4757,e
35393,p
17529,e
36016,e
28117,p
28603,p
7826,p
32443,p
17763,e
44352,p
27829,p
52272,e
17786,e
979,p
44026,e
25456,p
6594,e
60128,p
21121,p
19119,p
4042,p
12786,p
45234,e
54295,p
9017,p
8020,p
37924,p
33712,e
50255,p
57454,p
15839,p
5266,e
56351,p
23999,p
46004,e
4845,e
14400,e
47002,p
24685,e
18571,p
10056,p
43672,e
14427,e
1304,e
58961,p
59845,p
14868,e
28034,p
30834,p
60578,e
37932,p
6926,e
33946,p
32248,p
36749,p
54967,e
4119,p
51552,e
5026,e
15316,e
34949,e
10504,e
6471,e
34500,p
4924,e
4283,e
49787,p
12320,p
33738,e
2123,p
52946,e
9732,p
10446,e
47120,p
11946,e
14063,p
27208,p
45129,p
39345,p
33660,e
51965,e
16665,e
46073,e
60543,e
3010,e
7741,p
31274,e
37872,p
29218,p
10441,e
51971,e
2613,e
30305,p
24095,e
30199,p
43915,e
42586,e
10978,p
23855,p
10999,p
38081,p
35912,p
39415,p
12779,p
23109,p
29675,e
58973,p
4540,e
24108,e
30086,p
10358,e
60673,e
9768,p
60724,p
28791,p
31006,p
7375,p
57276,p
60703,e
20466,e
60549,e
54523,e
33651,e
20513,e
54074,p
3118,e
48442,e
16700,e
48347,p
7635,p
36311,e
38836,p
580,p
23547,p
11632,e
57068,e
41153,p
28133,p
52483,e
51465,e
41151,p
55995,e
57800,p
31045,p
20805,e
60654,e
14915,e
19415,p
26365,e
20326,e
14210,e
32318,p
45813,e
36553,p
45580,e
8715,e
35525,p
34142,p
41362,p
9407,e
43720,e
13684,p
549,p
49285,e
42072,e
54378,e
22636,p
53194,e
59070,p
22250,e
35046,e
15458,e
1386,e
4589,e
44458,p
23848,p
54385,e
4792,e
38979,p
44306,p
36223,e
6988,e
57842,p
53517,p
15218,e
51287,e
15715,p
44124,e
52989,e
46002,e
25646,p
22733,p
40607,p
10202,p
40353,p
21243,e
36312,e
31914,p
23815,p
55916,e
46885,e
1129,e
2235,p
14570,e
38512,p
42943,e
49957,p
1463,p
45147,p
60446,e
8661,e
23660,p
58291,e
38287,p
4165,p
49015,e
21616,e
60801,p
33020,p
17398,e
50669,e
54865,e
43693,e
50397,p
31992,p
29164,p
16481,e
46632,e
29163,p
6772,e
3023,e
41834,p
20963,p
56698,p
28067,p
39530,p
50127,p
18904,e
52189,e
7721,p
13648,p
28776,p
25085,e
49357,e
24911,e
21440,e
6222,p
54249,p
11690,e
29777,e
16628,e
3497,e
41632,p
53580,p
28886,p
22914,p
32923,p
20048,p
33846,e
9953,p
23740,p
33305,p
7297,p
53932,p
1015,p
25503,p
41059,p
24215,e
519,p
20055,p
29880,e
38021,p
25493,p
9623,p
382,p
43197,p
41785,p
56503,p
37299,p
43455,e
52920,e
6975,e
57368,p
59447,p
8966,p
29648,p
45623,e
36423,p
2960,e
7990,p
1461,p
12188,p
41977,p
44527,p
2297,p
56517,p
47699,p
18462,p
11822,e
43293,p
26282,e
9452,e
5191,e
30051,p
60449,e
8101,p
23098,p
42275,e
39495,p
30733,p
44803,p
18346,e
38511,p
19166,p
31406,e
26931,e
25895,p
22978,p
57602,p
19217,p
53299,e
40757,p
10774,p
26013,p
51258,e
55580,e
32657,p
36426,p
3188,e
53988,p
23442,p
12434,e
7231,p
18729,e
50883,p
5025,e
28390,p
60594,e
48277,p
21200,e
40512,p
50027,p
10354,e
37864,p
51511,e
46406,e
8885,p
18639,p
27170,e
43278,p
14472,e
27495,p
19611,p
8972,p
23989,p
50006,p
34094,p
16167,e
5461,e
14823,e
10492,e
4947,e
12987,p
33828,e
48204,p
4098,p
5479,e
18915,e
54678,e
5019,e
26028,p
31205,e
43409,p
8420,p
34250,p
24100,e
37101,p
46854,e
34153,p
9085,p
8320,p
26061,p
17759,e
20622,e
15613,p
36614,p
23657,p
15852,p
56679,p
42351,e
39248,p
25671,p
33347,p
30255,p
31578,e
26068,p
29363,p
15405,e
52726,e
44471,p
6278,p
58829,p
11848,e
33262,p
5369,e
59869,p
12972,p
35795,p
42668,e
58758,p
41852,p
53509,p
55719,e
11720,e
14970,e
25106,e
1052,p
37865,p
5234,e
47575,p
52178,e
15837,p
5700,e
26720,p
11315,e
14588,e
49317,e
36438,p
4895,e
37762,p
8215,p
16213,e
15893,e
12928,p
59546,p
22334,e
26197,e
45122,p
48270,p
50843,p
20799,e
53230,e
12511,e
47823,p
17616,e
56907,e
41763,p
16315,e
53478,p
51461,e
53660,p
23539,p
12505,e
58274,e
31234,e
42642,e
611,p
554,p
23305,p
33083,p
33942,p
14052,p
17872,e
33134,p
14034,p
34757,p
57957,p
3556,p
651,p
48957,e
56154,p
55337,e
40196,p
6455,e
9825,p
53645,p
34531,p
905,p
9433,e
26006,p
51711,e
21705,e
26885,e
40190,p
37680,p
37569,p
34235,p
45155,p
29280,p
37763,p
47242,p
21317,e
10243,e
57416,p
52691,e
38698,p
56556,p
55771,e
24138,e
32594,p
27308,p
50350,p
36018,e
45612,e
8913,p
25731,p
34487,p
10356,e
26756,p
31775,p
45393,e
60236,p
19769,p
41427,p
24909,e
51902,e
45563,e
188,p
13999,p
24206,e
13948,p
3196,e
21596,e
54472,e
11387,e
10919,p
28489,p
30789,p
37006,p
60883,p
47440,p
51941,e
13963,p
57041,e
44225,p
46120,e
54689,e
68,p
32130,p
53700,p
39194,p
4407,e
16217,e
58427,e
21631,e
13720,p
40842,p
45566,e
12962,p
57019,e
32516,p
45626,e
57943,p
59537,p
29339,p
29323,p
15913,e
36762,p
26870,e
3267,e
27335,p
43690,e
26213,e
41351,p
53092,e
24588,e
20913,p
36432,p
21686,e
58923,p
47495,p
23890,p
12951,p
43355,p
8803,e
37647,p
30369,e
52961,e
21308,e
58195,p
19017,e
47123,p
11155,p
32878,p
44619,p
41928,p
57802,p
12622,e
50727,e
32792,p
16077,e
5837,e
49981,p
19273,p
3367,e
1203,e
54197,p
10883,p
44787,p
55482,e
33962,p
4353,e
4759,e
60688,e
58934,p
24465,e
26936,e
60645,e
41499,p
15719,p
30386,e
13072,p
2296,p
42217,e
23865,p
55842,e
25221,e
27311,p
11576,e
57328,p
34373,p
9242,e
4290,e
34569,p
458,p
44198,p
43884,e
22332,e
37621,p
43800,e
47682,p
38034,p
16069,e
16551,e
46216,e
34638,p
46176,e
27588,p
8643,e
17917,e
19903,p
25275,e
48258,p
30374,e
41626,p
6001,p
42155,e
7482,p
11568,e
50605,e
36087,e
35302,p
18896,e
30490,e
58851,p
50764,e
9453,e
5250,e
7426,p
34931,p
57390,p
31686,e
52836,e
24833,e
33849,e
18518,p
53430,p
37343,p
6026,p
42768,e
36843,p
15089,e
22801,p
5161,e
16887,e
54937,e
42309,e
46273,e
39857,p
55806,e
55,p
21488,e
25394,e
992,p
2686,e
10525,e
22814,p
60814,p
44692,p
22483,e
11621,e
5538,e
34477,p
13043,p
49785,p
21765,e
60949,p
12515,e
40038,p
51044,p
56264,p
18599,p
40810,p
10748,p
25623,p
57525,p
45475,e
34669,p
27191,p
48500,e
45589,e
38116,p
52557,e
36234,e
27314,p
37241,p
18719,e
41320,p
23797,p
22430,e
48023,p
51375,e
47281,p
57883,p
54667,e
17134,p
42552,e
48644,e
59443,p
8543,e
21414,e
21826,e
5774,e
49309,e
60572,e
30111,p
2640,e
40032,p
21620,e
280,p
60731,p
6063,p
983,p
10372,e
23324,p
59974,p
5420,e
28473,p
1795,e
7252,p
42846,e
36800,p
41266,p
44299,p
3514,e
35656,p
10247,e
12608,e
51302,e
27554,p
1345,e
14901,e
29997,e
51435,e
28261,p
46404,e
41942,p
36032,e
44099,e
50332,p
42043,e
832,p
54175,p
47008,p
18324,e
25862,p
22981,p
46604,e
16687,e
41983,p
54025,p
39847,p
44832,p
5109,e
29819,e
22751,p
1921,e
58100,p
38743,p
10951,p
50985,p
1416,p
20141,e
7886,p
13847,p
20653,e
34300,p
15488,e
57306,p
35297,e
12538,e
48465,e
48064,p
47190,p
2825,e
50253,p
47096,p
32609,p
59738,p
32185,p
60630,e
30363,e
35373,p
25819,p
20208,e
3765,p
36055,e
10336,e
31940,p
55105,e
47900,p
28722,p
6535,e
19792,p
37803,p
41423,p
56329,p
37627,p
25802,p
12822,p
48978,e
50386,p
28643,p
12753,p
37105,p
36802,p
5910,e
17469,e
56006,e
22016,e
3527,e
35465,p
31244,e
40961,p
17405,e
18861,e
57399,p
52159,e
52865,e
20060,p
39673,p
57,p
9794,p
38295,p
42377,e
40994,p
45348,e
33608,e
38270,p
51849,e
15473,e
6414,e
31362,e
30157,p
55927,e
50247,p
19858,p
47433,p
54062,p
9140,p
9598,p
49154,e
54677,e
20329,e
1361,e
27063,e
8396,p
57108,e
36804,p
30876,p
19986,p
55443,e
18863,e
34839,p
48587,e
18689,p
26553,p
32635,p
39606,p
16291,e
57889,p
35845,p
9656,p
24047,e
60826,p
21821,e
2513,e
40317,p
25119,e
51911,e
21646,e
6931,e
31845,p
50439,p
8649,e
32299,p
47522,p
45539,e
25555,p
44733,p
39859,p
30893,p
53110,e
31846,p
7552,p
54328,p
3470,e
24869,e
9713,p
9492,e
35272,e
37755,p
55305,e
40814,p
51578,e
37208,p
13087,p
10288,e
16189,e
7021,e
23998,p
43519,e
27037,e
13601,p
45364,e
2854,e
39487,p
18012,e
38897,p
36419,p
56456,p
33372,p
29623,p
36229,e
5680,e
47082,p
36546,p
21285,e
22890,p
13515,p
24910,e
12050,p
16174,e
36520,p
53027,e
12385,e
762,p
52732,e
59934,p
6259,p
49760,e
22046,e
45449,e
7138,p
24594,e
41816,p
2353,p
32667,p
17798,e
58112,p
16792,e
46097,e
872,p
45864,e
35595,p
21,p
48180,p
41838,p
37071,p
33215,p
48885,e
1172,e
47865,p
27650,p
20463,e
2560,e
58631,p
25772,p
48381,e
3641,p
31681,e
21570,e
59341,p
36392,p
52410,e
35210,e
59021,p
55735,e
28236,p
48983,e
31159,e
49237,e
48235,p
12016,p
30904,p
2568,e
44098,e
44212,p
5658,e
15520,e
16361,e
30010,p
51284,e
57335,p
57142,e
10249,e
14407,e
21443,e
24565,e
27832,p
52106,e
23996,p
51107,p
53005,e
11490,e
25650,p
40995,p
38517,p
44933,p
42864,e
59658,p
29245,p
59932,p
8040,p
60633,e
34694,p
28494,p
43828,e
21404,e
43187,p
47086,p
28665,p
46231,e
33804,e
24881,e
59431,p
23075,p
15780,p
29011,p
18714,e
44294,p
47192,p
10242,e
1220,e
22840,p
21648,e
56547,p
3742,p
15528,e
13477,p
1542,p
38665,p
37133,p
19631,p
55696,e
59980,p
35044,e
29189,p
42993,e
32207,p
21190,e
49173,e
57993,p
25967,p
26362,e
1276,e
4911,e
17821,e
55899,e
42263,e
38375,p
9179,e
42298,e
23063,p
23798,p
51589,e
42782,e
45215,e
18402,p
21689,e
30867,p
31263,e
45152,p
60719,p
49142,e
26060,p
1802,e
8036,p
55595,e
9423,e
38567,p
29419,p
47101,p
45055,p
43521,e
13447,p
12024,p
63,p
45714,e
60707,e
17009,p
5336,e
26721,p
25344,e
36591,p
17488,e
2114,e
5953,e
20382,e
60119,p
54366,e
31737,e
58107,p
5536,e
36182,e
23341,p
49534,e
53532,p
24082,e
29750,e
58256,e
40009,p
42806,e
14172,e
58097,p
50652,e
42272,e
22010,e
31469,e
34267,p
2136,p
38677,p
44918,p
32027,p
48328,p
27152,e
53678,p
55292,e
57086,e
4663,e
34039,p
27553,p
23332,p
51794,e
7477,p
57123,e
31567,e
21365,e
35447,p
59673,p
57514,p
20213,e
13712,p
52902,e
24528,e
58388,e
16683,e
51536,e
15554,p
984,p
58295,e
42902,e
59065,p
59945,p
51685,e
22738,p
52533,e
3315,e
9100,p
29562,p
29203,p
52335,e
14380,e
57614,p
7284,p
34680,p
50591,e
6450,e
40702,p
45774,e
39801,p
11445,e
51082,p
32268,p
9256,e
44487,p
27040,e
3201,e
3870,p
17657,e
40817,p
17991,e
13219,p
27699,p
42692,e
42182,e
7902,p
3037,e
3794,p
15261,e
42599,e
15536,p
19891,p
32146,p
3984,p
3648,p
19125,p
9327,e
18214,e
45321,e
57701,p
37919,p
25783,p
35576,p
49387,e
53482,p
6174,p
54318,p
47247,p
19828,p
38320,p
30469,e
31130,e
15529,e
12821,p
5156,e
47773,p
59645,p
37249,p
57372,p
36120,e
58537,e
38847,p
54856,e
36064,e
50610,e
52443,e
40490,p
4457,e
53247,e
11889,e
45013,p
13143,p
25537,p
46599,e
41815,p
14616,e
47087,p
46317,e
3477,e
12999,p
36161,e
50818,e
36565,p
40705,p
4296,e
9267,e
47348,p
17081,p
15067,e
58881,p
13321,p
30948,p
18811,e
31573,e
53603,p
19673,p
17788,e
32699,p
16636,e
11572,e
35018,e
59791,p
9858,p
17694,e
54278,p
58026,p
17849,e
45939,e
57979,p
30776,p
45901,e
52550,e
228,p
6261,p
47758,p
46830,e
33842,e
48114,p
28375,p
55894,e
32991,p
868,p
49217,e
50229,p
33961,p
5059,e
60817,p
37703,p
43417,p
30325,p
48951,e
46929,e
22385,e
45038,p
57722,p
46813,e
46466,e
58897,p
18322,e
45854,e
53021,e
55978,e
49783,p
487,p
36446,p
46081,e
11184,p
59392,p
24123,e
15238,e
41843,p
50719,e
44144,p
27756,p
47609,p
18169,e
32954,p
288,p
33670,e
47558,p
22494,e
34920,p
14392,e
35431,p
21635,e
46657,e
35238,e
8635,e
21583,e
50358,p
57483,p
36196,e
47228,p
51223,e
26674,p
19676,p
27727,p
46484,e
60584,e
31890,p
44585,p
56566,p
51998,e
57307,p
54532,e
41104,p
37387,p
16725,e
45172,p
11499,e
2008,e
33785,e
8211,p
8157,p
56808,p
26735,p
60327,p
13715,p
17307,e
17293,p
23771,p
13289,p
35593,p
3748,p
43589,e
23364,p
46653,e
49226,e
31905,p
58837,p
53364,p
28794,p
39201,p
4487,e
10497,e
4030,p
55376,e
43643,e
9558,p
39834,p
12097,p
16410,e
48629,e
60334,p
36007,e
13584,p
52905,e
14173,e
31601,e
13193,p
27434,p
21058,p
15667,p
6146,p
12039,p
24751,e
55560,e
51222,e
43288,p
42159,e
21808,e
44786,p
5691,e
57228,p
43897,e
20745,e
16011,e
24858,e
59515,p
50044,p
19799,p
8438,p
13151,p
20171,e
47616,p
17076,p
31302,e
23113,p
26336,e
22401,e
26272,e
38772,p
33104,p
60677,e
55635,e
44630,p
8663,e
25177,e
8426,p
39414,p
27541,p
3406,e
59081,p
14880,e
16133,e
25028,e
9670,p
57114,e
47466,p
11101,p
3835,p
54949,e
4307,e
48736,e
18887,e
52861,e
35834,p
59336,p
45524,e
35362,p
15195,e
29372,p
1902,e
56334,p
31731,e
16648,e
13780,p
49273,e
3545,p
7597,p
41956,p
9747,p
32864,p
1697,p
51673,e
37714,p
41549,p
3422,e
59670,p
11329,e
55355,e
7691,p
18573,p
60808,p
56299,p
40588,p
56632,p
14809,e
56234,p
44139,p
33356,p
12449,e
20803,e
20807,e
7408,p
16979,p
20996,p
53432,p
10783,p
37839,p
50146,p
24740,e
9503,e
53577,p
33917,p
54989,e
60627,e
39785,p
10940,p
54685,e
7545,p
49856,p
7525,p
30039,p
27222,p
58503,e
54154,p
293,p
41762,p
40110,p
24395,e
59568,p
13787,p
5425,e
16438,e
22184,e
4808,e
16480,e
10128,p
41544,p
9126,p
46626,e
58212,p
22606,p
55284,e
24657,e
18779,e
48993,e
4999,e
49008,e
